"전국","소주(외식)",115.09,115.62,115.90,117.07,116.99,117.02
"전국","맥주(외식)",114.82,115.47,116.31,117.77,118.02,118.42
"전국","구내식당식사비",117.24,117.24,117.24,117.24,118.10,118.15
"전국","식품 이외",112.52,112.90,112.33,111.82,112.35,112.82
"전국","담배",100.00,100.00,100.00,100.00,100.00,100.00
"전국","남자하의",120.63,120.63,121.44,121.44,121.44,121.44
"전국","남자내의",107.86,108.07,108.33,108.23,108.41,108.15
"전국","여자하의",114.06,114.06,114.06,114.06,114.06,114.06
"전국","여자내의",105.73,105.81,107.12,107.29,107.43,107.53
"전국","티셔츠",123.77,123.77,123.77,123.77,123.77,123.77
"전국","유아동복",115.80,115.80,116.87,116.87,116.87,116.87
"전국","양말",102.03,102.56,102.71,102.77,103.71,103.55
"전국","운동화",107.80,107.80,107.80,107.80,107.80,107.80
"전국","상수도료",109.13,109.18,109.18,109.84,111.75,111.79
"전국","하수도료",111.10,111.10,111.10,111.10,114.63,114.97
"전국","공동주택관리비",116.30,118.58,117.41,118.62,118.71,121.64
"전국","쓰레기봉투료",104.14,104.14,104.14,104.14,104.49,104.49
"전국","전기료",142.21,142.21,142.21,142.21,142.21,142.21
"전국","도시가스",136.13,136.13,136.15,136.15,136.17,136.18
"전국","가전제품렌탈비",99.91,99.91,99.91,99.91,99.91,99.91
"전국","부엌용용구",116.51,115.99,115.52,115.77,116.23,116.40
"전국","세탁세제",135.40,132.96,127.19,131.29,125.98,127.82
"전국","섬유유연제",117.09,117.49,118.14,116.61,115.55,127.01
"전국","부엌용세제",116.53,116.72,117.05,117.11,117.21,121.33
"전국","소염진통제",112.42,112.67,113.19,113.47,113.63,113.81
"전국","조제약",96.60,96.31,96.16,96.13,95.94,95.94
"전국","건강기능식품",102.20,102.20,104.97,104.97,104.02,104.02
"전국","병원약품",95.97,95.75,95.62,95.60,95.46,95.46
"전국","생리대",116.68,117.17,114.00,112.67,122.54,118.80
"전국","마스크",70.54,70.70,70.51,70.66,70.66,70.84
"전국","외래진료비",106.11,106.11,106.11,106.11,108.22,108.22
"전국","한방진료비",109.27,109.27,109.27,109.27,113.18,113.18
"전국","약국조제료",110.91,110.91,110.91,110.91,112.84,112.84
"전국","치과진료비",106.02,106.02,106.02,106.02,109.43,109.43
"전국","휘발유",127.13,127.84,121.30,115.37,112.63,116.11
"전국","경유",138.68,141.12,136.11,127.89,123.38,126.57
"전국","도로통행료",98.36,97.28,97.28,97.28,97.28,97.28
"전국","도시철도료",100.00,109.05,109.05,109.05,110.88,110.88
"전국","시내버스료",107.87,111.11,111.08,111.08,112.23,112.23
"전국","택시료",121.06,121.06,121.66,121.66,121.66,121.66
"전국","택배이용료",112.41,112.41,112.25,112.05,112.04,112.04
"전국","휴대전화료",101.79,101.81,101.85,101.86,101.87,101.86
"전국","인터넷이용료",100.62,100.62,100.62,100.62,100.62,100.62
"전국","장난감",101.37,100.65,100.14,99.12,100.68,98.87
"전국","반려동물용품",117.13,115.66,117.02,116.91,116.97,116.84
"전국","영화관람료",128.81,128.81,128.81,128.81,128.81,128.81
"전국","온라인콘텐츠이용료",105.21,105.21,106.59,107.44,107.44,107.44
"전국","방송수신료",100.97,100.97,100.97,100.97,100.97,100.96
"전국","유치원납입금",67.54,67.25,67.25,67.25,67.25,67.25
